event_id,room,room_ua,start_kyiv,hours,t0_c,t_end_c,t_out_c,delta_t0_c,delta_end_c,drop_c,k_per_h,tau_h,used,reason
OUT-001,Bedroom,житлова кімната,2026-03-18 03:00:00+02:00,6.0,23.20839556638333,22.843813164665143,2.15,21.058395566383332,20.693813164665144,-0.364582401718188,0.0029107575346344204,343.55317751521204,True,
OUT-001,Kitchen,кухня,2026-03-18 03:00:00+02:00,6.0,,25.58798390810677,2.15,,23.437983908106773,,,,False,датчик ще не працював — немає показу біля події
OUT-001,Printernya,кладова,2026-03-18 03:00:00+02:00,6.0,,24.540415449987528,2.15,,22.39041544998753,,,,False,датчик ще не працював — немає показу біля події
OUT-002,Bedroom,житлова кімната,2026-06-13 11:00:00+03:00,8.0,28.374647968344444,26.23439522311405,22.0,6.374647968344444,4.234395223114049,-2.140252745230395,0.051136044427615504,19.555677628048212,True,
OUT-002,Kitchen,кухня,2026-06-13 11:00:00+03:00,8.0,28.49258219425556,27.84438602116668,22.0,6.4925821942555615,5.844386021166681,-0.6481961730888806,0.013147347296639036,76.06097088921034,True,
OUT-002,Printernya,кладова,2026-06-13 11:00:00+03:00,8.0,28.970917556777778,28.619883046301013,22.0,6.970917556777778,6.6198830463010125,-0.35103451047676515,0.006458644595535598,154.83124751766476,True,
OUT-003,Bedroom,житлова кімната,2026-07-11 12:00:00+03:00,5.0,26.79759026434286,26.00011487984052,20.18,6.617590264342859,5.820114879840521,-0.7974753845023379,0.025682258984319927,38.93738477641476,True,
OUT-003,Kitchen,кухня,2026-07-11 12:00:00+03:00,5.0,28.645118932,28.664399731074784,20.18,8.465118932,8.484399731074785,0.019280799074785193,,,False,найближчий показ аж за 375 год від події
OUT-003,Printernya,кладова,2026-07-11 12:00:00+03:00,5.0,29.000900145685712,27.582452612930524,20.18,8.820900145685712,7.402452612930524,-1.418447532755188,0.03506250853348717,28.520492167436608,True,
OUT-004,Bedroom,житлова кімната,2026-07-12 11:00:00+03:00,7.0,26.587429529554164,25.86006793336493,20.5,6.087429529554164,5.360067933364931,-0.7273615961892332,0.018178466135732006,55.010141809180325,True,
OUT-004,Kitchen,кухня,2026-07-12 11:00:00+03:00,7.0,28.645118932,28.664399731074784,20.5,8.145118931999999,8.164399731074784,0.019280799074785193,,,False,найближчий показ аж за 398 год від події
OUT-004,Printernya,кладова,2026-07-12 11:00:00+03:00,7.0,28.043760964325,27.56941418694861,20.5,7.543760964324999,7.06941418694861,-0.47434677737638964,0.009277605972527503,107.78642711936273,True,
OUT-005,Bedroom,житлова кімната,2026-07-25 11:00:00+03:00,9.0,25.86332331070952,25.10472836458012,23.87777777777778,1.9855455329317415,1.2269505868023387,-0.7585949461294028,,,False,мала різниця з вулицею: T0 − T_вул = +2.0 °C
OUT-005,Kitchen,кухня,2026-07-25 11:00:00+03:00,9.0,26.798944488561908,26.47565655541032,23.87777777777778,2.921166710784128,2.597878777632541,-0.32328793315158677,,,False,мала різниця з вулицею: T0 − T_вул = +2.9 °C
OUT-005,Printernya,кладова,2026-07-25 11:00:00+03:00,9.0,29.0276188408,27.869146869376674,23.87777777777778,5.149841063022219,3.9913690915988944,-1.1584719714233245,0.028314616653100692,35.3174479545882,True,
